n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
32,2.4183903868859957,3.761012741654206,172.81478213864156,403.0702817942894,724.8301672489694,148890.49456110486,0.5627309992720693,1.0,0.5599105662405793,0.0,0.0,0.0
33,2.418038431556788,3.7535211317091486,172.75514085606898,403.8940041119449,726.3046265902044,149793.10151106465,0.564022188579796,1.0,0.5596378989556361,0.0,0.0,0.0
34,2.4177625770388596,3.7467833770750083,172.7078262590668,404.6402948564396,727.6409724299564,150614.0318033996,0.5651931991106234,1.0,0.559410888671731,0.0,0.0,0.0
35,2.417547536895511,3.740719464652742,172.67042304813853,405.31640347521255,728.8519739271695,151360.36105946396,0.5662550500507382,1.0,0.559222029247063,0.0,0.0,0.0
36,2.417380771957323,3.735258301244386,172.64094929711274,405.92890361437753,729.9492535113357,152038.60844578632,0.5672177810272928,1.0,0.5590650247775958,0.0,0.0,0.0
37,2.4172520957172234,3.730336765389151,172.6177912036739,406.48375642286993,730.943383812947,152654.7702497675,0.5680905334831263,1.0,0.5589345973123909,0.0,0.0,0.0
38,2.417153302141439,3.7258988134078406,172.5996434342055,406.9863675967257,731.8439772454124,153214.35333988984,0.5688816263575748,1.0,0.5588263253091461,0.0,0.0,0.0
39,2.4170778294087882,3.721894658708818,172.58545626774173,407.4416389270659,732.6597687697597,153722.4080758873,0.5695986262656376,1.0,0.5587365076066025,0.0,0.0,0.0
40,2.4170204651389238,3.718280032003745,172.57438983243932,407.8540149742904,733.3986922872059,154183.56032710057,0.5702484124065913,1.0,0.5586620487250128,0.0,0.0,0.0
41,2.416977093728802,3.7150155229035136,172.56577517948446,408.227525387156,734.067951055294,154602.04233919206,0.5708372364597378,1.0,0.5586003620858535,0.0,0.0,0.0
42,2.4169444835303917,3.712065999098501,172.55908163606108,408.5658233071922,734.6740824948496,154981.7222602146,0.5713707777414895,1.0,0.5585492883419753,0.0,0.0,0.0
43,2.416920110085144,3.7094000970208176,172.55388973693454,408.87222023976716,735.2230177387993,155326.13219703842,0.5718541939064694,1.0,0.5585070264801086,0.0,0.0,0.0
44,2.4169020109970094,3.7069897768623123,172.54986899440493,409.14971772613853,735.7201362623886,155638.4947230325,0.5722921674773738,1.0,0.5584720757342471,0.0,0.0,0.0
