n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
35,0.20175007496978495,1.0,9.424257157378227,0.033092989232430634,0.8108821344066768,0.20367576286397854,0.0,0.0,0.0,0.0,0.0,0.0
36,0.2027296753376535,1.0,9.429374807003637,0.033325061289011235,0.8114869263988882,0.20369519010787107,0.0,0.0,0.0,0.0,0.0,0.0
37,0.2036930829249749,1.0,9.434066529450176,0.03355223929367446,0.8120604371397275,0.20371174556098054,0.0,0.0,0.0,0.0,0.0,0.0
38,0.2046411986555725,1.0,9.438365555329154,0.033775047041093444,0.8126057080778977,0.203726865326424,0.0,0.0,0.0,0.0,0.0,0.0
39,0.20557481665239363,1.0,9.44230282254305,0.03399394732249609,0.8131254028460058,0.2037416830507408,0.0,0.0,0.0,0.0,0.0,0.0
40,0.20649463763876727,1.0,9.445906996879513,0.034209347531900726,0.8136218605889894,0.20375708483505153,0.0,0.0,0.0,0.0,0.0,0.0
41,0.20740128057379092,1.0,9.449204554724787,0.034421604989261056,0.8140971423070349,0.20377375552883548,0.0,0.0,0.0,0.0,0.0,0.0
42,0.20829529275303593,1.0,9.452219905076438,0.034631031913535615,0.8145530707788167,0.20379221731727948,0.0,0.0,0.0,0.0,0.0,0.0
43,0.20917715857938834,1.0,9.45497553352595,0.03483790001359063,0.8149912646952414,0.20381286157199163,0.0,0.0,0.0,0.0,0.0,0.0
44,0.2100473071846116,1.0,9.45749215548921,0.03504244468915723,0.815413167659301,0.2038359749221419,0.0,0.0,0.0,0.0,0.0,0.0
45,0.21090611906000614,1.0,9.459788869712638,0.035244868850622654,0.8158200726982788,0.20386176044380144,0.0,0.0,0.0,0.0,0.0,0.0
46,0.2117539318342627,1.0,9.46188330604692,0.03544534637703692,0.8162131429013637,0.2038903547795032,0.0,0.0,0.0,0.0,0.0,0.0
47,0.21259104531825715,1.0,9.463791763756127,0.035644025237710424,0.8165934287471865,0.20392184190222465,0.0,0.0,0.0,0.0,0.0,0.0
48,0.21341774831555957,1.0,9.465518650691758,0.03584110369530631,0.8169624407319583,0.20395667230299847,0.0,0.0,0.0,0.0,0.0,0.0
49,0.214234266648378,1.0,9.467093036149164,0.036036539563516955,0.8173195803985001,0.20399391254966212,0.0,0.0,0.0,0.0,0.0,0.0
50,0.21504080358989267,1.0,9.468526251226429,0.03623049688403875,0.817666800247864,0.204034195906328,0.0,0.0,0.0,0.0,0.0,0.0
51,0.21583754301000802,1.0,9.46982942200602,0.03642304295226509,0.8180046997735472,0.20407742683409769,0.0,0.0,0.0,0.0,0.0,0.0
52,0.2166246502256048,1.0,9.471013234663525,0.036614231774011984,0.8183338656767178,0.20412351729418027,0.0,0.0,0.0,0.0,0.0,0.0
53,0.2174022734610982,1.0,9.47208785521803,0.03680410533623498,0.818654869475399,0.20417238537144777,0.0,0.0,0.0,0.0,0.0,0.0
54,0.21817054548647502,1.0,9.473062903489511,0.03699269489701569,0.8189682551507615,0.20422394964502805,0.0,0.0,0.0,0.0,0.0,0.0
55,0.21892958524564637,1.0,9.473947454226906,0.037180022229035645,0.8192745321826463,0.20427812607884555,0.0,0.0,0.0,0.0,0.0,0.0
56,0.21967949939670853,1.0,9.474750052574253,0.03736610079626258,0.8195741735670463,0.20433482713747989,0.0,0.0,0.0,0.0,0.0,0.0
57,0.22042038373501655,1.0,9.475478736634377,0.037550936856085355,0.8198676164786994,0.204393962021295,0.0,0.0,0.0,0.0,0.0,0.0
58,0.2211523244924704,1.0,9.47614106294999,0.03773453048397402,0.8201552639843247,0.20445543730141957,0.0,0.0,0.0,0.0,0.0,0.0
59,0.22187539951643373,1.0,9.476744132549962,0.0379168765209263,0.8204374870117043,0.2045191576132805,0.0,0.0,0.0,0.0,0.0,0.0
60,0.22258967933582585,1.0,9.47729461632001,0.03809796544565851,0.8207146262527645,0.20458502627995506,0.0,0.0,0.0,0.0,0.0,0.0
61,0.22329522812329414,1.0,9.477798779121935,0.03827778417409626,0.8209869939054719,0.20465294583354057,0.0,0.0,0.0,0.0,0.0,0.0
62,0.223992104562457,1.0,9.478262502464098,0.03845631678944567,0.8212548752490613,0.20472281843966805,0.0,0.0,0.0,0.0,0.0,0.0
63,0.22468036262876462,1.0,9.478691305723281,0.03863354520576875,0.8215185300778011,0.20479454624078328,0.0,0.0,0.0,0.0,0.0,0.0
