n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
219,0.2503942106551694,1.0,12.139698410138353,0.04188093077633721,0.5965369116962581,0.11391775136835258,0.0,0.0,0.0,0.0,0.0,0.0
220,0.2505521527296579,1.0,12.141266849021413,0.0419384853753293,0.5965784764924965,0.11394680276555189,0.0,0.0,0.0,0.0,0.0,0.0
221,0.2507079780393753,1.0,12.142821606194458,0.04199537625521705,0.5966195502704941,0.11397560074706506,0.0,0.0,0.0,0.0,0.0,0.0
222,0.2508617084150303,1.0,12.144362686781248,0.04205160752420928,0.5966601370485755,0.11400414579704013,0.0,0.0,0.0,0.0,0.0,0.0
223,0.2510133656160519,1.0,12.145890098353458,0.04210718329845965,0.5967002406117657,0.1140324384133052,0.0,0.0,0.0,0.0,0.0,0.0
224,0.2511629713298695,1.0,12.147403850393168,0.04216210770240647,0.5967398645426611,0.11406047910797217,0.0,0.0,0.0,0.0,0.0,0.0
225,0.25131054717123824,1.0,12.148903953802911,0.04221638486941705,0.5967790122516083,0.11408826840812908,0.0,0.0,0.0,0.0,0.0,0.0
226,0.251456114681584,1.0,12.1503904204639,0.04227001894281931,0.596817687005761,0.1141158068565866,0.0,0.0,0.0,0.0,0.0,0.0
227,0.2515996953283548,1.0,12.151863262842499,0.0423230140771643,0.5968558919571227,0.11414309501267442,0.0,0.0,0.0,0.0,0.0,0.0
228,0.2517413105043562,1.0,12.153322493645277,0.04237537443964121,0.5968936301695195,0.114170133453074,0.0,0.0,0.0,0.0,0.0,0.0
229,0.25188098152705907,1.0,12.154768125522068,0.042427104211828374,0.5969309046440553,0.11419692277267918,0.0,0.0,0.0,0.0,0.0,0.0
230,0.2520187296378599,1.0,12.156200170816318,0.04247820759152935,0.5969677183432358,0.11422346358546542,0.0,0.0,0.0,0.0,0.0,0.0
231,0.2521545760012831,1.0,12.15761864136217,0.0425286887947667,0.5970040742136304,0.11424975652536942,0.0,0.0,0.0,0.0,0.0,0.0
232,0.25228854170411263,1.0,12.159023548326752,0.04257855205781142,0.5970399752070008,0.11427580224715823,0.0,0.0,0.0,0.0,0.0,0.0
233,0.25242064775444045,1.0,12.160414902096258,0.04262780163941255,0.5970754242996031,0.11430160142728299,0.0,0.0,0.0,0.0,0.0,0.0
234,0.25255090756292115,1.0,12.161791325183222,0.042676591367549366,0.5971140809532539,0.11432848322968031,0.0,0.0,0.0,0.0,0.0,0.0
235,0.25267934765756395,1.0,12.163161728035588,0.04272461721287944,0.5971491805938363,0.11435404409593897,0.0,0.0,0.0,0.0,0.0,0.0
236,0.2528059899160248,1.0,12.164520329545976,0.042772048200539266,0.5971835117308779,0.11437921207417973,0.0,0.0,0.0,0.0,0.0,0.0
237,0.2529308559234199,1.0,12.165864986524422,0.04281888530468458,0.5972171791379723,0.11440403777785041,0.0,0.0,0.0,0.0,0.0,0.0
